P,30.973762,28.2141218166412,15.0,15.0,6.09622627827544,0.7174728425,10.06787517,0.0,-8.4102380952,14.16,553.5,107.0,1823.0,10.48669,1.625,7.12118127259094,-5.4005090425,3.560590636,4.486063093,0.0,22.5702380952,0.769,23.824,18.99,0,0,0,0,0,1,83,0,0,0,0,3,3,0,2,3,5,3.63,3,2,0,1,0,0,0,0,1,0,1,0,0,0.0
S,32.065,27.1665457946712,16.0,16.0,6.29893321989283,1.09442756875,7.76558603,0.0,-10.166875,15.62,717.72,105.0,1960.0,10.36001,2.202,7.44456910923797,-4.09721671875,3.722284555,4.689784664,0.0,25.786875,0.708,22.7,25.76,0,0,0,0,0,1,88,0,0,0,0,2,4,0,2,2,6,2.9,3,70,0,0,1,0,0,0,0,1,1,0,1,0.0
Cl,35.453,18317.5070375642,17.0,17.0,6.90091705237582,0.829888055,2.21271389,0.0,-3.9575,20.54,238.96,102.0,3.214,12.96763,2.493,7.31836247921715,-1.784433755,3.65918124,4.610279469,0.0,24.4975,0.479,33.949,29.05,0,0,0,0,0,1,94,0,0,0,0,1,5,0,2,1,7,2.18,3,64,0,0,0,1,1,0,0,0,1,0,1,0.0
Ar,39.948,37184.285422807,18.0,18.0,9.04960266053603,-1.08407189,1.07931739,0.0,17.78,46.32,87.2,106.0,1.784,15.75961,9.26,7.7006015159482,0.05854104,3.850300758,4.851074973,0.0,28.54,0.52,20.786,36.3,0,0,0,0,0,1,100,0,0,0,0,0,6,0,2,0,8,1.6411,3,225,0,0,0,0,0,0,0,0,0,0,0,0.0
K,39.0983,75.8478646830779,19.0,1.0,10.4878165565084,0.00102371332999995,-0.05407911,0.0,-1.0066666667,72.1,1032.0,203.0,856.0,4.3406633,0.0,10.5364017480964,-1.09753971333,5.268200874,6.637517176,0.0,73.1066666667,0.757,29.6,75.63,1,0,0,0,1,0,3,0,0,0,0,0,0,1,1,1,1,43.23,4,229,0,0,0,0,1,0,0,0,0,0,0,0.0
Ca,40.078,42.9371873024716,20.0,2.0,8.3830345410422,0.0210703550000002,2.89542357,0.0,-0.950000000000003,36.82,1757.0,176.0,1550.0,6.11316,0.0,8.45452064866223,-1.948329565,4.227260324,5.326014266,0.0,37.77,0.647,25.929,44.19,1,0,0,0,1,0,7,0,0,0,0,0,0,0,2,0,2,25.7333333333,4,225,0,0,0,0,0,1,0,0,0,0,0,1.0
Sc,44.955912,25.0093109185916,21.0,3.0,7.08202821013824,0.11342193,4.45180104,0.0,-0.0350000000000001,22.2,3103.0,170.0,2985.0,6.56149,0.0,7.08574804255262,-6.28551309,3.542874021,4.463741557,6.35e-06,22.235,0.568,25.52,24.96,0,1,0,0,1,0,11,9,1,0,0,0,0,0,2,9,3,17.8,4,194,0,0,0,0,0,0,1,0,0,0,0,0.0
Ti,47.867,17.6363171588061,22.0,4.0,6.45883252009245,0.11395901,2.97615095,0.0,0.149999999999999,16.84,3560.0,160.0,4507.0,6.82812,0.0,6.43959824146465,-7.77522712,3.219799121,4.056692689,2.25333333333e-05,16.69,0.524,25.06,17.67,0,1,0,0,1,0,43,8,2,0,0,0,0,0,2,8,4,14.6,4,194,0,0,0,0,0,1,1,1,0,0,0,0.0
V,50.9415,13.8448982209802,23.0,5.0,5.92651097618832,0.0,6.45502198,0.0,0.0,13.01,3680.0,153.0,6110.0,6.74619,0.0,5.92651097618832,-8.93926069,2.963255488,3.733467966,0.0,13.01,0.489,24.89,13.88,0,1,0,0,1,0,46,7,3,0,0,0,0,0,2,7,5,12.4,4,229,0,0,0,0,0,1,1,1,1,0,0,0.0
Cr,51.9961,12.0929374738936,24.0,6.0,5.63280069969244,0.000908960000000292,7.97704267,0.0,-0.0199999999999996,11.17,2944.0,139.0,7140.0,6.76651,0.0,5.6361605577511,-9.50571654,2.818080279,3.550558664,0.0,11.19,0.449,23.35,12.01,0,1,0,0,1,0,49,5,5,0,0,0,0,1,1,6,6,11.6,4,229,0,0,0,0,0,1,1,0,0,1,0,0.0
Mn,54.938045,12.2127044655985,25.0,7.0,5.51959949485148,0.15015449034,7.57494268,0.8185729,0.0224137931000001,10.51,2334.0,139.0,7470.0,7.43402,0.0,5.51567297372692,-9.02056525034,2.757836487,3.474656242,0.000310120689655,10.4875862069,0.479,26.32,12.2,0,1,0,0,1,0,52,5,5,0,0,0,0,0,2,5,7,9.4,4,217,0,0,0,0,0,1,1,1,0,0,1,0.0
Fe,55.845,11.7773649695423,26.0,8.0,5.55784675864371,0.0,6.45149343,2.1106628,0.0,10.73,3134.0,132.0,7874.0,7.9024,0.0,5.55784675864371,-8.28548436,2.778923379,3.501224062,2.1106628,10.73,0.449,25.1,11.78,0,1,0,0,1,0,55,4,6,0,0,0,0,0,2,4,8,8.4,4,229,0,0,0,0,0,1,1,0,0,0,0,0.0
Co,58.933195,10.9958606831132,27.0,9.0,5.5073180822224,0.100302575,6.14041474,1.6840372,0.195,10.44,3200.0,126.0,8900.0,7.88101,0.0,5.47281349692051,-7.080389145,2.736406748,3.447656463,1.5484712,10.245,0.421,24.81,11.12,0,1,0,0,1,0,58,3,7,0,0,0,0,0,2,3,9,7.5,4,194,0,0,0,0,0,1,1,0,0,0,0,0.0
Ni,58.6934,10.9412844417051,28.0,10.0,5.48790731596398,0.107185530000001,5.09579251,0.0645672,0.00999999999999979,10.33,3186.0,124.0,8908.0,7.6398,0.0,5.4861358802967,-5.54632457,2.74306794,3.456049039,0.5953947,10.32,0.444,26.07,10.86,0,1,0,0,1,0,61,2,8,0,0,0,0,0,2,2,10,6.8,4,225,0,0,0,0,0,1,1,0,0,0,0,0.0
Cu,63.546,11.8299419318999,29.0,11.0,5.61763150408129,0.0377675399999999,4.3787397,0.0,0.00999999999999979,11.08,3200.0,132.0,8920.0,7.72638,0.0,5.61594097388469,-3.68065482,2.807970487,3.537821124,0.0,11.07,0.385,24.44,11.81,0,1,0,0,1,0,64,0,10,0,0,0,0,1,1,1,11,6.15,4,225,0,0,0,0,1,1,0,0,0,0,0,0.0
Zn,65.38,15.2056837348025,30.0,12.0,6.09622627827544,0.0829084150000001,3.91507328,0.0,0.199999999999999,14.16,1180.0,122.0,7140.0,9.394199,0.0,6.06738844744543,-1.239999915,3.033694224,3.822215211,0.0,13.96,0.388,25.39,15.19,0,1,0,0,1,0,69,0,10,0,0,0,0,0,2,0,12,-5.8166666667,4,194,0,0,0,0,0,1,0,0,0,0,0,0.0
Ga,69.723,19.6105134830824,31.0,13.0,6.5965087136422,0.0338645424999999,3.94985673,0.0,-0.9175,17.94,2477.0,122.0,5904.0,5.999301,0.0,6.7070987358881,-3.0122553025,3.353549368,4.225207441,0.0,18.8575,0.373,26.03,19.6,0,0,0,0,1,0,74,0,10,0,0,5,1,0,2,5,13,8.12,4,64,0,0,0,0,0,0,1,0,0,0,0,0.0
